symbol,bids,asks,timestamp
ETHUSDT,"[['1737.73000000', '42.83800000'], ['1737.67000000', '5.45020000'], ['1737.60000000', '0.01000000'], ['1737.45000000', '0.00000000'], ['1737.42000000', '0.00000000'], ['1737.39000000', '10.30100000'], ['1737.37000000', '17.51110000'], ['1737.12000000', '9.92850000'], ['1737.07000000', '0.00000000'], ['1736.99000000', '0.96550000'], ['1736.98000000', '6.38710000'], ['1736.85000000', '4.91050000'], ['1736.47000000', '0.00000000'], ['1736.33000000', '0.26090000'], ['1735.89000000', '0.79200000'], ['1735.86000000', '1.70000000'], ['1735.37000000', '0.57600000'], ['1735.08000000', '1.89920000'], ['1717.73000000', '0.01300000'], ['1706.98000000', '0.00950000'], ['1696.49000000', '0.03520000'], ['1000.00000000', '2812.30600000']]","[['1737.74000000', '9.89700000'], ['1737.82000000', '0.00000000'], ['1737.84000000', '5.01000000'], ['1737.95000000', '9.07360000'], ['1737.96000000', '0.11430000'], ['1737.97000000', '0.46520000'], ['1737.98000000', '0.00000000'], ['1737.99000000', '8.63660000'], ['1738.01000000', '0.77330000'], ['1738.02000000', '0.57550000'], ['1738.03000000', '5.92850000'], ['1738.05000000', '4.16350000'], ['1738.08000000', '10.95560000'], ['1738.09000000', '22.44240000'], ['1738.60000000', '12.05620000'], ['1738.92000000', '15.00000000'], ['1739.08000000', '0.63320000'], ['1739.12000000', '0.46650000'], ['1739.27000000', '0.00000000'], ['1739.30000000', '1.64920000'], ['1746.15000000', '10.01710000']]",1693334745677
ETHUSDT,"[['1737.73000000', '45.13260000'], ['1737.65000000', '0.90000000'], ['1737.42000000', '1.00030000'], ['1737.33000000', '0.00000000'], ['1737.11000000', '13.26920000'], ['1737.03000000', '70.34060000'], ['1736.85000000', '1.60910000'], ['1736.82000000', '3.20000000'], ['1736.57000000', '0.25400000'], ['1736.33000000', '0.00690000'], ['1734.16000000', '10.00000000'], ['1733.87000000', '0.00000000'], ['1695.85000000', '1.76590000']]","[['1737.74000000', '9.87150000'], ['1738.00000000', '0.10410000'], ['1738.01000000', '0.38020000'], ['1738.02000000', '0.90680000'], ['1738.05000000', '3.31960000'], ['1738.06000000', '22.14750000'], ['1738.07000000', '20.64470000'], ['1738.10000000', '4.94930000'], ['1738.12000000', '3.08270000'], ['1738.13000000', '2.40000000'], ['1738.18000000', '9.62960000'], ['1738.27000000', '66.19460000'], ['1738.32000000', '0.01000000'], ['1738.33000000', '0.01000000'], ['1738.45000000', '0.08870000'], ['1738.56000000', '62.92140000'], ['1738.57000000', '104.74050000'], ['1738.59000000', '0.00000000'], ['1738.77000000', '8.36500000'], ['1738.78000000', '0.00000000'], ['1739.25000000', '95.54990000'], ['1739.27000000', '159.24890000'], ['1998.48000000', '2.26110000']]",1693334746677
ETHUSDT,"[['1737.73000000', '46.28060000'], ['1737.72000000', '2.87430000'], ['1737.71000000', '8.63220000'], ['1737.69000000', '0.00000000'], ['1737.37000000', '17.50950000'], ['1736.44000000', '3.00000000'], ['1736.26000000', '2.63330000'], ['1736.02000000', '0.00000000'], ['1736.01000000', '0.00580000'], ['1735.85000000', '0.00000000'], ['1735.83000000', '0.00000000']]","[['1737.74000000', '8.46580000'], ['1737.99000000', '8.63660000'], ['1738.00000000', '0.01000000'], ['1738.01000000', '0.00000000'], ['1738.02000000', '0.57550000'], ['1738.10000000', '4.80000000'], ['1738.18000000', '0.99970000'], ['1738.19000000', '1.34360000'], ['1738.22000000', '0.00000000'], ['1738.27000000', '28.80570000'], ['1738.34000000', '2.63330000'], ['1738.40000000', '15.06960000'], ['1738.77000000', '5.73170000'], ['1738.83000000', '0.12110000'], ['1739.01000000', '0.00000000'], ['1739.27000000', '159.25690000'], ['1740.90000000', '10.00000000'], ['1778.95000000', '0.00720000'], ['1998.48000000', '0.01200000']]",1693334747677
ETHUSDT,"[['1737.73000000', '61.73030000'], ['1737.67000000', '3.98740000'], ['1737.66000000', '6.64500000'], ['1737.61000000', '0.00590000'], ['1737.55000000', '6.27930000'], ['1737.54000000', '10.46460000'], ['1737.50000000', '0.61880000'], ['1737.49000000', '0.00000000'], ['1737.48000000', '1.03030000'], ['1737.40000000', '10.35830000'], ['1737.24000000', '7.78220000'], ['1737.23000000', '6.68970000'], ['1737.19000000', '15.19660000'], ['1737.18000000', '0.00000000'], ['1737.06000000', '21.80120000'], ['1737.05000000', '12.80000000'], ['1736.99000000', '12.96550000'], ['1736.96000000', '19.69270000'], ['1736.95000000', '0.05850000'], ['1736.87000000', '19.20000000'], ['1736.85000000', '0.80910000'], ['1736.82000000', '0.00000000'], ['1736.81000000', '8.09350000'], ['1736.80000000', '13.05360000'], ['1736.76000000', '0.61770000'], ['1736.70000000', '4.56640000'], ['1736.67000000', '0.10000000'], ['1736.65000000', '5.28430000'], ['1736.62000000', '6.21680000'], ['1736.57000000', '0.00000000'], ['1736.55000000', '0.00000000'], ['1736.45000000', '0.00000000'], ['1736.43000000', '7.21050000'], ['1736.42000000', '10.40030000'], ['1736.40000000', '10.36620000'], ['1736.15000000', '0.00000000'], ['1736.08000000', '0.12940000'], ['1736.06000000', '0.07400000'], ['1736.01000000', '0.00000000'], ['1735.93000000', '0.00800000'], ['1735.84000000', '6.14870000'], ['1735.81000000', '0.00000000'], ['1735.80000000', '1.50000000'], ['1735.55000000', '0.00600000'], ['1735.52000000', '0.07880000'], ['1735.40000000', '0.00000000'], ['1731.97000000', '29.11940000'], ['1731.60000000', '83.50000000'], ['1000.00000000', '2812.31600000']]","[['1737.74000000', '8.91670000'], ['1737.85000000', '0.00670000'], ['1737.89000000', '2.59340000'], ['1737.93000000', '0.00000000'], ['1737.95000000', '0.48270000'], ['1737.96000000', '0.01430000'], ['1738.01000000', '0.00000000'], ['1738.02000000', '0.00000000'], ['1738.04000000', '0.57540000'], ['1738.06000000', '15.74750000'], ['1738.08000000', '9.83900000'], ['1738.10000000', '0.00000000'], ['1738.12000000', '1.05810000'], ['1738.13000000', '8.00000000'], ['1738.14000000', '16.84000000'], ['1738.15000000', '2.90720000'], ['1738.16000000', '5.18850000'], ['1738.17000000', '6.50220000'], ['1738.18000000', '1.79970000'], ['1738.19000000', '1.34360000'], ['1738.20000000', '10.94380000'], ['1738.21000000', '0.00000000'], ['1738.23000000', '3.97460000'], ['1738.26000000', '17.28430000'], ['1738.29000000', '1.60000000'], ['1738.45000000', '0.00000000'], ['1738.50000000', '0.01210000'], ['1738.53000000', '0.00000000'], ['1738.57000000', '104.16500000'], ['1738.62000000', '0.00000000'], ['1738.63000000', '0.00000000'], ['1738.75000000', '0.11510000'], ['1738.77000000', '6.30710000'], ['1738.88000000', '7.48310000'], ['1738.92000000', '0.04390000'], ['1738.97000000', '15.00000000'], ['1738.99000000', '0.00000000'], ['1739.02000000', '13.35850000'], ['1739.30000000', '0.01000000'], ['1786.57000000', '0.11820000'], ['1835.00000000', '16.45740000'], ['1894.93000000', '0.01850000'], ['1921.87000000', '0.52100000'], ['1948.81000000', '0.00610000']]",1693334748677
ETHUSDT,"[['1737.73000000', '61.27930000'], ['1737.56000000', '0.03000000'], ['1737.52000000', '2.53910000'], ['1736.96000000', '20.49730000'], ['1729.57000000', '0.00000000'], ['1729.40000000', '0.57280000'], ['1723.15000000', '13.10560000'], ['1722.71000000', '0.05940000'], ['1700.00000000', '269.05240000'], ['1000.00000000', '2812.30600000']]","[['1737.74000000', '8.58750000'], ['1737.89000000', '0.07300000'], ['1737.94000000', '5.00000000'], ['1738.11000000', '4.15950000'], ['1738.14000000', '3.20000000'], ['1738.18000000', '0.99970000'], ['1738.19000000', '0.53900000'], ['1738.23000000', '12.80420000'], ['1738.24000000', '2.02860000'], ['1738.54000000', '1.38130000'], ['1738.77000000', '5.73170000'], ['1738.78000000', '0.57540000'], ['1738.95000000', '9.00090000'], ['1739.27000000', '159.24890000'], ['1739.40000000', '21.35750000'], ['1742.96000000', '0.06340000'], ['1743.08000000', '0.47440000'], ['1756.47000000', '0.09360000'], ['1756.92000000', '8.60850000'], ['1894.93000000', '0.17050000'], ['1921.87000000', '0.61200000'], ['1948.81000000', '0.06710000']]",1693334749677
ETHUSDT,"[['1737.73000000', '61.26350000'], ['1735.97000000', '0.00000000'], ['1732.63000000', '0.00000000']]","[['1737.74000000', '8.33850000'], ['1737.91000000', '0.30000000'], ['1737.93000000', '2.51960000'], ['1738.09000000', '32.55190000'], ['1738.11000000', '0.00000000'], ['1738.22000000', '0.17610000'], ['1738.37000000', '43.18650000'], ['1738.99000000', '8.65010000'], ['1742.12000000', '0.03450000'], ['1742.14000000', '0.00000000'], ['1744.70000000', '0.00850000']]",1693334750677
ETHUSDT,"[['1737.73000000', '59.76970000'], ['1737.23000000', '6.71840000'], ['1736.81000000', '7.83960000'], ['1736.71000000', '0.25400000'], ['1736.55000000', '11.08530000'], ['1736.54000000', '18.47560000'], ['1736.38000000', '1.12640000'], ['1735.71000000', '0.00000000'], ['1731.82000000', '0.01000000'], ['1730.90000000', '1.03580000'], ['1727.51000000', '0.00000000']]","[['1737.74000000', '8.42110000'], ['1737.84000000', '0.01000000'], ['1737.92000000', '5.01000000'], ['1737.94000000', '0.00000000'], ['1738.02000000', '0.32120000'], ['1738.04000000', '0.67540000'], ['1738.07000000', '26.89620000'], ['1738.08000000', '13.32070000'], ['1738.09000000', '22.44240000'], ['1738.19000000', '0.53900000'], ['1738.23000000', '12.40420000'], ['1738.24000000', '0.42860000'], ['1738.27000000', '29.60570000'], ['1738.37000000', '6.39820000'], ['1739.30000000', '0.00000000'], ['1746.44000000', '1.03580000']]",1693334751677
ETHUSDT,"[['1737.73000000', '52.66490000'], ['1737.72000000', '0.00000000'], ['1737.61000000', '0.09320000'], ['1737.54000000', '10.65140000'], ['1737.34000000', '0.00000000'], ['1737.05000000', '13.95090000'], ['1736.91000000', '0.48270000'], ['1736.55000000', '0.00000000'], ['1736.54000000', '0.57560000'], ['1734.82000000', '0.86010000'], ['1734.10000000', '2.88330000'], ['1729.93000000', '0.00000000'], ['1000.00000000', '2812.31600000']]","[['1737.74000000', '8.42560000'], ['1737.91000000', '0.00000000'], ['1738.01000000', '0.00000000'], ['1738.02000000', '0.00000000'], ['1738.23000000', '12.00420000'], ['1738.26000000', '18.48430000'], ['1738.38000000', '38.10170000'], ['1738.45000000', '3.42520000'], ['1738.67000000', '1.20180000'], ['1739.59000000', '0.00000000'], ['1739.61000000', '0.00000000'], ['1740.00000000', '14.47190000'], ['1740.03000000', '57.54600000']]",1693334752677
ETHUSDT,"[['1737.73000000', '46.58820000'], ['1737.54000000', '10.46460000'], ['1737.49000000', '0.18680000'], ['1737.08000000', '5.75400000'], ['1736.29000000', '3.14130000'], ['1731.00000000', '8.15410000'], ['1730.55000000', '4.92790000'], ['1000.00000000', '2812.30600000']]","[['1737.74000000', '8.42170000'], ['1737.89000000', '5.07300000'], ['1737.92000000', '0.01000000'], ['1737.96000000', '0.88120000'], ['1737.97000000', '10.50850000'], ['1737.98000000', '8.10150000'], ['1738.00000000', '0.53300000'], ['1738.01000000', '0.45580000'], ['1738.02000000', '0.00000000'], ['1738.03000000', '5.92850000'], ['1738.05000000', '3.31960000'], ['1738.07000000', '20.64470000'], ['1738.11000000', '0.03420000'], ['1738.21000000', '8.62970000'], ['1738.22000000', '0.25020000'], ['1738.23000000', '3.37460000'], ['1738.55000000', '0.01150000'], ['1740.90000000', '0.00000000'], ['1743.52000000', '0.00000000'], ['1746.15000000', '0.01710000']]",1693334753677
ETHUSDT,"[['1737.73000000', '61.73590000'], ['1737.62000000', '6.26630000'], ['1737.61000000', '10.44380000'], ['1737.60000000', '10.36830000'], ['1737.55000000', '0.00000000'], ['1737.54000000', '0.00000000'], ['1737.53000000', '1.52400000'], ['1737.50000000', '0.00000000'], ['1737.49000000', '0.00000000'], ['1737.41000000', '6.21530000'], ['1737.39000000', '1.94540000'], ['1737.37000000', '2.52060000'], ['1737.26000000', '0.10000000'], ['1737.22000000', '0.00000000'], ['1737.19000000', '0.00000000'], ['1737.18000000', '13.55030000'], ['1737.01000000', '29.40450000'], ['1736.94000000', '1.15100000'], ['1736.92000000', '6.92710000'], ['1736.90000000', '0.49480000'], ['1736.81000000', '8.06980000'], ['1736.79000000', '0.01000000'], ['1736.75000000', '0.00000000'], ['1736.72000000', '1.20910000'], ['1736.66000000', '3.18110000'], ['1736.50000000', '0.00680000'], ['1736.39000000', '1.12640000'], ['1736.37000000', '0.00000000'], ['1736.24000000', '0.02000000'], ['1736.06000000', '28.87560000'], ['1736.00000000', '125.45520000'], ['1735.59000000', '34.57180000'], ['1735.50000000', '0.34440000']]","[['1737.74000000', '4.27550000'], ['1737.87000000', '0.00000000'], ['1737.97000000', '0.46520000'], ['1737.98000000', '0.00000000'], ['1738.00000000', '0.01000000'], ['1738.01000000', '0.00000000'], ['1738.07000000', '20.64470000'], ['1738.09000000', '0.20050000'], ['1738.13000000', '0.00000000'], ['1738.14000000', '0.40000000'], ['1738.17000000', '0.28760000'], ['1738.19000000', '12.28350000'], ['1738.20000000', '0.58750000'], ['1738.21000000', '0.00000000'], ['1738.22000000', '9.40770000'], ['1738.23000000', '3.17460000'], ['1738.24000000', '3.62860000'], ['1738.25000000', '12.35520000'], ['1738.26000000', '17.28430000'], ['1738.27000000', '28.80570000'], ['1738.29000000', '0.00000000'], ['1738.31000000', '8.80000000'], ['1738.32000000', '0.01000000'], ['1738.35000000', '21.90400000'], ['1738.38000000', '1.15100000'], ['1738.40000000', '14.01130000'], ['1738.45000000', '0.00000000'], ['1738.46000000', '5.79730000'], ['1738.50000000', '4.32780000'], ['1738.96000000', '0.01000000'], ['1738.97000000', '15.00000000'], ['1739.35000000', '8.34730000'], ['1739.40000000', '21.34950000'], ['1739.41000000', '1.50800000'], ['1740.40000000', '10.36830000']]",1693334754678
