symbol,bids,asks,timestamp,Mid_Price,Quoted_Spread,First_Layer_Liquidity
ETHBTC,"[['0.06257000', '22.23660000'], ['0.06235000', '4.05520000'], ['0.05631000', '0.87330000']]","[['0.06263000', '38.42870000'], ['0.06297000', '5.29800000']]",1693386247292,0.0626,6.0000000000004494e-05,60.6653
ETHBTC,[],"[['0.06258000', '87.06680000'], ['0.06259000', '57.24050000'], ['0.06260000', '31.36400000'], ['0.06266000', '36.58470000'], ['0.06348000', '22.20270000'], ['0.06349000', '46.81200000'], ['0.06448000', '4.55510000']]",1693386248292,,,
ETHBTC,"[['0.06255000', '49.72170000'], ['0.06254000', '42.46550000']]",[],1693386249292,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06199000', '2.69490000']]","[['0.06260000', '65.64750000'], ['0.06269000', '0.12740000']]",1693386250293,0.062505,0.00019000000000000267,78.4593
ETHBTC,"[['0.06200000', '30.93410000']]","[['0.06278000', '3.13580000'], ['0.06279000', '1.17990000']]",1693386251293,0.06239,0.0007800000000000029,34.069900000000004
ETHBTC,"[['0.06254000', '68.74520000'], ['0.06253000', '19.77570000']]",[],1693386252293,,,
ETHBTC,"[['0.06241000', '65.90980000']]","[['0.06269000', '37.02940000']]",1693386253293,0.06255,0.00027999999999999553,102.9392
ETHBTC,[],"[['0.06259000', '91.52400000'], ['0.06260000', '31.36400000']]",1693386255293,,,
ETHBTC,"[['0.06256000', '35.52800000'], ['0.06254000', '67.96170000'], ['0.06252000', '26.95420000'], ['0.06251000', '39.53870000'], ['0.06249000', '10.38490000'], ['0.06157000', '24.33570000']]","[['0.06258000', '77.16990000'], ['0.06259000', '94.56750000'], ['0.06260000', '31.42430000']]",1693386256293,0.06257,1.9999999999992246e-05,112.6979
ETHBTC,"[['0.06252000', '27.10420000'], ['0.06235000', '4.05520000'], ['0.06217000', '4.68530000'], ['0.06216000', '30.38050000'], ['0.06157000', '24.33400000']]","[['0.06259000', '94.71750000'], ['0.06297000', '5.29800000']]",1693386257293,0.062555,7.000000000000062e-05,121.82169999999999
ETHBTC,"[['0.06257000', '21.43660000'], ['0.06157000', '24.33400000']]","[['0.06258000', '79.58710000'], ['0.06259000', '91.07380000']]",1693386258293,0.06257499999999999,9.999999999996123e-06,101.0237
ETHBTC,[],"[['0.06258000', '79.58530000']]",1693386260293,,,
ETHBTC,"[['0.06254000', '67.96170000']]",[],1693386261293,,,
ETHBTC,"[['0.06241000', '12.81180000'], ['0.06157000', '24.33570000'], ['0.05631000', '0.87330000']]","[['0.06258000', '82.66370000'], ['0.06259000', '87.79810000'], ['0.06269000', '0.12740000']]",1693386262293,0.062494999999999995,0.00016999999999999654,95.47550000000001
